"","mz","Pearson","cosine","delta_RT"
"para",729.591157275038,-0.199703540757909,0.822329149570035,0.518000000000029
"para",802.574619020943,-0.0507123990568384,0.630736854152501,1.79300000000001
"para",393.266431099211,0.5448189388751,0.814099770954513,0.754999999999995
"para",862.615086130897,0.163680971823518,0.858557809651196,0.518000000000029
"para",1179.99876581142,0.145159973097208,0.867799848653247,0.518000000000029
"para",263.128153897659,-0.378159130712642,0.770411893107437,1.79300000000001
"para",318.979236592107,0.335112349992512,0.887226521499534,0.754999999999995
"para",281.175348960392,0.669094649624856,0.910003541283054,0.331999999999994
"para",491.298167807493,0.471574287816602,0.894944961394225,1.178
"para",331.227021893559,0.517365059274506,0.908413205572615,0.754999999999995
"para",328.292893359536,-0.0832364306394685,0.846847367467386,2.024
"para",894.622205920826,-0.0610729054885743,0.842735421012812,1.36900000000003
"para",290.212055569034,0.20046866283844,0.799758931701163,2.024
"para",279.15921792494,0.516261662616343,0.904802361686008,1.178
"para",321.24261812006,-0.154645929223823,0.808418304729165,2.024
"para",381.263926061164,-0.185247082645016,0.813377614874692,0.942999999999984
"para",266.150778216206,0.0831015432994257,0.868792570342952,0.331999999999994
"para",177.091607892528,0.513528015572689,0.901920008475935,1.178
"para",980.013908281924,0.34678813559003,0.880778669415837,0.754999999999995
"para",236.970966886447,-0.103632174647899,0.850095627692549,1.79300000000001
"para",171.138695924522,0.376769503246167,0.89082161650388,0.518000000000029
"para",160.935265112761,0.5751695593683,0.915894169849762,0.754999999999995
"para",182.98813325834,0.283389945284473,0.8831686529171,0.331999999999994
"para",1249.12206284209,-0.0600518214218334,0.859470474349629,1.36900000000003
"para",280.982180377574,0.544181971125449,0.909779064656743,0.331999999999994
"para",796.540846900385,-0.214988914008703,0.68184431951497,0.942999999999984
"para",778.560399213123,0.00730699452317173,0.867575248015188,0.518000000000029
"para",324.262096366751,0.277651213678454,0.880031147640174,0.518000000000029
"para",791.563194965387,-0.281828228453867,0.830294173352382,0.518000000000029
"para",555.004834391147,0.388205621810076,0.893011549637062,0.331999999999994
"para",313.163770985678,-0.318065831568074,0.842423522082679,1.79300000000001
"para",689.547752220083,0.521118781699597,0.887238191700805,0.518000000000029
"para",622.371374580869,0.146674445028859,0.806650443588781,0.518000000000029
"para",437.266480663251,-0.378434924203991,0.84358932892045,0.518000000000029
"para",854.105592573632,0.141312359461899,0.868173048188556,0.518000000000029
"para",171.102358031722,-0.63719224015578,0.815376797009419,1.79300000000001
"para",474.285034454818,-0.634409313414911,0.625813294000764,1.79300000000001
"para",397.258509950534,0.209589546156454,0.842719147817388,1.59999999999991
"para",791.997890580741,0.197740236279453,0.855196217213319,0.942999999999984
"para",373.276427019537,0.402974353434993,0.875974129654255,0.754999999999995
"para",300.261513795407,0.336945718995181,0.882335654278974,0.518000000000029
"para",822.569845588882,0.148656957395703,0.875513190177068,0.518000000000029
"para",351.253049922276,0.00140059620712815,0.829779268242522,2.024
"para",379.24837484624,0.492528123742874,0.897249640796321,1.59999999999991
"para",313.220306909959,0.619687580239579,0.92244169487807,1.59999999999991
